patient_id,name,dob,gender,address,city,state,zipcode,ssn
P0001,Miguel Smith,1933-06-13,Female,72055 Natalie Trace,North Bruce,Alaska,72399,532-49-4075
P0002,Natasha Mcknight,1986-03-11,F,190 Zachary Ports,North Johnnyfurt,Alabama,03534,594-12-6300
P0003,Natalie Hernandez,1956-06-22,,737 Singh River,South Alanmouth,Maryland,71715,863-11-8973
P0004,Zachary Price,1930-01-03,Female,,North Sandrashire,North Carolina,36851,701-29-4081
P0005,Steve Sharp,1957-09-24,F,18151 Benson Isle Apt. 942,East Cynthiatown,California,48082,209-42-3919
P0006,Jason Griffin,1975-07-11,Female,9466 Hernandez Center Apt. 082,Nicoletown,Florida,93082,789-70-1501
P0007,Brittany Taylor,1954-10-05,M,402 Taylor Pines Suite 817,Haleyberg,New Jersey,30306,809-46-3157
P0008,Christopher Arias,1971-05-11,Male,04129 Victoria Points Apt. 851,Lake Robertland,South Dakota,23660,806-81-5364
P0009,Albert Wade,1978-08-03,Male,07923 Joseph Lodge,North Christopherside,Kansas,68969,147-59-1420
P0010,Nathaniel Reese,1948-05-27,,96151 Anthony Greens,Alexanderchester,Nevada,98992,333-29-4237
P0011,Nicholas Arellano,1966-01-19,Female,76346 Daniel Corners,Joelstad,New York,94765,762-81-3359
P0012,Ellen Bruce,,,58617 Nichols Estates Suite 127,South Shawn,Alabama,67267,402-54-6348
P0013,Tara Logan,1945-04-02,Female,1976 Dixon Vista,Kristyport,New Mexico,61722,850-11-2616
P0014,Margaret Ward,1929-06-12,Female,84897 Beltran Crossroad Apt. 543,Brianchester,West Virginia,99316,388-71-2497
P0015,Brittany Rogers,2011-03-15,M,9525 Andrews Extensions Apt. 644,Port Davidfort,Wyoming,26134,560-71-1316
P0016,Julie Smith,2015-06-27,F,43594 Jennifer Pines Suite 968,South Richardtown,Minnesota,13390,837-13-0717
P0017,Christopher Humphrey,1966-10-21,Male,412 Michelle Crest,Williamshaven,Nevada,01050,844-31-8138
P0018,Micheal May,1993-03-29,M,03203 Brooke Plaza Apt. 114,North Jasonfort,Delaware,32050,110-97-8133
P0019,Leah Owens,2013-03-31,F,16259 Jennifer Green Apt. 947,Michelletown,South Dakota,16292,079-27-7169
P0020,George Martin,1940-09-22,M,2887 Thomas Tunnel,Georgeton,Virginia,30214,480-15-6808
P0021,Alexander Vaughn,1939-08-06,Female,23996 Castillo Trail Apt. 837,Maryton,New Hampshire,55449,574-14-0115
P0022,Dustin Smith,2022-11-07,,7800 Denise Skyway Suite 323,Maynardburgh,Delaware,51711,600-05-6299
P0023,Pamela Arnold,,M,6706 Fleming Knolls Apt. 691,New Melissa,Mississippi,91855,767-19-1466
P0024,Noah Roberson,1965-01-23,,1070 James Cape,Patriciaburgh,Maine,28272,720-96-1844
P0025,Sharon Lane,1963-10-02,Female,130 Kevin Coves Suite 910,Micheleton,Georgia,13730,378-10-6178
P0026,Jacob Aguirre,1999-05-05,,463 Elizabeth Ridges Suite 348,North Aarontown,Delaware,36694,511-54-4253
P0027,Brittney Wagner,2004-02-15,Male,57385 Garner Way Apt. 281,Velezmouth,Connecticut,18062,240-76-6097
P0028,Kathleen Garcia,1973-10-14,M,60972 Jessica Brook Apt. 446,Kelseychester,Wyoming,61131,480-19-0601
P0029,Jeremy Johnson,1952-03-08,F,715 Trujillo Throughway,Schmidtbury,New Mexico,87608,741-08-3548
P0030,Evan Irwin,1996-08-15,Male,,Port Jacobmouth,Maine,10055,861-39-8246
P0031,Michele Powers,1976-08-25,M,,East Annamouth,Kentucky,99033,404-88-8653
P0032,Charles Hayes,2000-01-06,Male,76642 Sean Lane Apt. 271,West Jared,Oklahoma,53046,488-54-2267
P0033,Calvin Barry,1983-03-03,F,060 Holmes Pike Suite 932,Lake Matthewstad,Wyoming,31344,266-01-5683
P0034,Melissa Acevedo,2006-09-06,Female,3961 Carlson Mission,Lynntown,Massachusetts,25647,699-84-5271
P0035,Anthony Wells,2005-07-05,F,5542 Jefferson Radial Apt. 384,Port Henry,Indiana,53249,768-17-7462
P0036,Catherine Mccarthy,1948-05-10,Female,1117 Curtis Overpass,Lawsonfort,Connecticut,55935,169-08-4826
P0037,Stephen Watson,1963-10-21,F,,Maryfurt,Oregon,73043,239-05-6141
P0038,Brian Coleman,2003-03-23,M,92202 Cooley Port,North Wendyview,Idaho,89447,408-35-8118
P0039,Amy Payne,1934-03-15,M,,Marshalltown,Indiana,11037,410-25-7302
